LSOA21CD,Childcare accessibility,Childcare accessibility (driving only),Childcare accessibility (public transport only),Childcare accessibility - good or outstanding places (overall)
E01000001,0.355190401940245,0.185915782023286,0.449846745417218,0.245402965500127
E01000002,0.331578214781712,0.174649268537671,0.402809276262985,0.234743181345923
E01000003,0.406416426184023,0.229928600707488,0.449081149294458,0.277245997527501
E01000005,0.360026311886409,0.166612010194327,0.411133727877459,0.250218473793021
E01000006,0.126413061702544,0.115765630053208,0.151772529367499,0.0969698739100221
E01000007,0.213334758499669,0.136163723280793,0.26087979843819,0.162296636784561
E01000008,0.148768531575491,0.124582610609721,0.170908749589861,0.115685960160311
E01000009,0.222014683030061,0.11396350198103,0.339322867724759,0.165080800123151
E01000011,0.149866411015156,0.0868649981490754,0.22266566147896,0.115682834913528
E01000012,0.135527973191461,0.12273916574212,0.14895727743854,0.107052267965593
E01000013,0.181950753429088,0.196874158006395,0.15266896823706,0.109463270539955
E01000014,0.164855952149744,0.175134145722794,0.141746318458122,0.100417218776107
E01000015,0.191972275700986,0.232068736180155,0.123750238820935,0.115313675111375
E01000016,0.179651746928971,0.201076262890721,0.132338863136218,0.110034411651685
E01000017,0.201178007720766,0.212872663333382,0.175065507412831,0.125646473938888
E01000018,0.185158003235689,0.212281373786955,0.119274046581273,0.112220480136138
E01000019,0.191494515385516,0.212527859618689,0.134092129674365,0.137862301913956
E01000020,0.205626419136542,0.223237928460265,0.154553836407708,0.147033700252969
E01000021,0.197490563324206,0.216832212838995,0.150801986065522,0.142299095326144
E01000022,0.199277561004224,0.218044146681487,0.143498977669671,0.142069539492677
E01000024,0.20658824238101,0.213895878288329,0.191065409819597,0.147196591660571
E01000025,0.193624819128469,0.215262594472086,0.152718524517877,0.137450276291609
E01000027,0.165741178368694,0.201208686302656,0.085985968044153,0.120942854730046
E01000028,0.138006875108255,0.190837899265539,0.0558907714620465,0.101265919526646
E01000029,0.208635612210079,0.233013693575242,0.105023312875676,0.153094430343796
E01000030,0.186220351597628,0.221414669454375,0.116725316774515,0.136369876344547
E01000031,0.234519126209766,0.263479734420451,0.14113471431796,0.171515024023521
E01000032,0.199519019693901,0.215479724812175,0.152360800183614,0.147526148740471
E01000033,0.116734033143945,0.136336648716575,0.082448375360207,0.0685897696563881
E01000034,0.155372813216644,0.173257217281585,0.112914190919207,0.095998074037494
E01000035,0.18744812813915,0.196961691845444,0.164257892697678,0.111874243324284
E01000036,0.201251564167115,0.222575104508248,0.1441933238732,0.120607187245434
E01000037,0.164205571334871,0.168777165520154,0.153018137437327,0.103999714958065
E01000038,0.199554826871249,0.212935774674541,0.155609873968837,0.130387230976498
E01000039,0.109838572355375,0.128096505491389,0.0517266452572712,0.067642833257564
E01000040,0.176726625349209,0.14542122391192,0.217453162707239,0.120487107882875
E01000041,0.145525157038359,0.150501504739927,0.133585638655898,0.0962688535952682
E01000042,0.129815964811046,0.115404839113273,0.153493045484964,0.0862670772952919
E01000043,0.134810525520784,0.117256960233841,0.166950079156415,0.0945987354718423
E01000044,0.138099083001987,0.112426006743776,0.172181392370552,0.0995485304584982
E01000045,0.178079520340578,0.169764069320407,0.18776535656557,0.114618264719261
E01000046,0.133213792180782,0.142133588351683,0.116056963741016,0.0832580747280326
E01000049,0.194265617075752,0.169531713450159,0.226066837083194,0.128883663520989
E01000050,0.18727099299985,0.145238689027442,0.243959571981128,0.126768690490056
E01000051,0.2373620711,0.177401574688042,0.292749575050488,0.160685469235048
E01000052,0.203709756111747,0.187446204658199,0.227880946434051,0.127875001956244
E01000053,0.165086896197114,0.17871821154407,0.144428900535122,0.0810867048225876
E01000054,0.147397415899562,0.159714880479323,0.121172258184182,0.0827209131265611
E01000055,0.138949815590597,0.151239706333872,0.111929491583744,0.0797832170516679
E01000056,0.140403888585097,0.162479008715488,0.0938939140103272,0.0724398264813301
E01000057,0.150293851357587,0.161837506745584,0.1296038454112,0.0908156905510634
E01000058,0.157836534408116,0.165978505441301,0.139556465077658,0.0914173651248104
E01000059,0.166782733327341,0.183478952613265,0.12365994789488,0.0867318071881917
E01000060,0.145644561581673,0.156401058036064,0.1329623831095,0.0972150836537317
E01000061,0.170388728942122,0.110209954786771,0.236180503100108,0.11457702089261
E01000062,0.155898436387178,0.171199914768468,0.123847624049492,0.0996453575224687
E01000063,0.189350985959824,0.18943334217409,0.188268293875851,0.129153596402611
E01000064,0.139094302507866,0.14787585284045,0.115721174079924,0.0856086845438533
E01000065,0.190031777581659,0.196303616775223,0.182130126345453,0.127858522752025
E01000066,0.135837479011797,0.143281576287343,0.115928348392578,0.0980087648819719
E01000067,0.171078791134504,0.161044973201187,0.182396845613832,0.126559051115597
E01000068,0.122249237851775,0.0975046276630976,0.173179856473215,0.0906073961910629
E01000069,0.137615643630955,0.137228917609328,0.142729532939341,0.0996201401197016
E01000070,0.151622153226595,0.125810772840846,0.217893505481276,0.111463900202333
E01000071,0.135661509606295,0.135064810815241,0.126010767562653,0.0967559003678729
E01000072,0.135818027814776,0.161195881469045,0.0888522733110698,0.0911532913139054
E01000073,0.148491980811268,0.17096462650153,0.0942421998661981,0.101814894121338
E01000074,0.150560618898489,0.173839247428499,0.108029851768677,0.103467999119803
E01000075,0.162549309010902,0.173933811731586,0.136346171264345,0.106702221993786
E01000076,0.132809885549087,0.165966219645039,0.0823091697496935,0.0880947626951407
E01000077,0.20073344369196,0.202216434504398,0.190181495820087,0.142076107668076
E01000078,0.176430664327467,0.184321564680977,0.16038477197893,0.125601567455491
E01000079,0.168560280183483,0.197311889064965,0.109479607733732,0.107896167458022
E01000080,0.164879168714952,0.177788687691085,0.134348586229836,0.114475645050607
E01000081,0.182150157850306,0.203515878424675,0.125499579771544,0.122420781131685
E01000082,0.182619570295015,0.189646940242707,0.166979163396804,0.128182214348436
E01000083,0.202251386877578,0.209244305275996,0.186434552144218,0.144622740516387
E01000084,0.19931296632686,0.20572436521455,0.186207141331027,0.106792324877179
E01000085,0.212511960324959,0.23450848049927,0.182168725755719,0.112959086759515
E01000086,0.208077796148873,0.213452329002108,0.194980779857308,0.107185403239517
E01000087,0.199543409693093,0.22025116299386,0.16323718225297,0.0984758186304465
E01000088,0.194717800042306,0.213940985568738,0.161871304316256,0.0971253203069641
E01000089,0.153926797374293,0.151876032923808,0.161650887192878,0.067727822093158
E01000090,0.194152135918047,0.167698054203125,0.243532244816416,0.0895360826443742
E01000091,0.190637100700054,0.182823368309655,0.203126227182835,0.0857518513853435
E01000093,0.198674279196661,0.190084142834901,0.209080601504278,0.102958277968094
E01000094,0.179605223711154,0.175368967359401,0.18928743883468,0.0708216142991885
E01000095,0.146147485557228,0.125862458343061,0.194181748509485,0.0680100917739685
E01000096,0.178324998958816,0.174861687862017,0.184934299713251,0.0885187776501008
E01000097,0.196842620022335,0.200610649829683,0.184787030670695,0.145990592494514
E01000098,0.20647861863348,0.215796705493098,0.184766724280981,0.150540076369439
E01000099,0.188661267603702,0.200330236679291,0.15292732667683,0.138732327082876
E01000100,0.166082193074358,0.189952186872517,0.118850494290829,0.119497582264722
E01000101,0.184801525245631,0.188653887364356,0.172132423085651,0.129092886169528
E01000102,0.188977744914009,0.206271910829323,0.152521500602565,0.136327683378699
E01000103,0.270993190531983,0.289728777824984,0.217642294999764,0.153192577393856
E01000104,0.272798198421716,0.281838489312885,0.256274347405384,0.154124524210568
E01000105,0.207794879850291,0.231736309465628,0.174697252355556,0.114921778172675
E01000106,0.205357917472113,0.246689047168517,0.156221129798066,0.115105881513097
E01000107,0.175199050476273,0.205870449891925,0.0845075685784106,0.101652228043166
E01000108,0.226763429699862,0.246436447799442,0.18530654564534,0.132449817238285
E01000110,0.206952412196027,0.21793394806559,0.155372746781524,0.152216741655883
E01000111,0.16209963540219,0.170555820998176,0.145058384711293,0.119674511251573
E01000112,0.219944492230124,0.236629309825275,0.184819779690343,0.163240138022184
E01000113,0.215587549361566,0.219651451828143,0.20535125425085,0.162474367439649
E01000114,0.156708497984108,0.158222094744746,0.14401556511977,0.112950111109793
E01000115,0.288949093672904,0.304228454442109,0.157223923068967,0.20457878593662
E01000116,0.300827574666559,0.316777724417466,0.212711313188846,0.213033369251933
E01000117,0.297778648796154,0.322963898601416,0.186072089526738,0.210384735421669
E01000118,0.323116077634145,0.338104201550345,0.24941210569116,0.229367184091176
E01000119,0.313670238807507,0.333975625315894,0.181768198239745,0.225411672493246
E01000120,0.313174470001473,0.328534176695958,0.182645113943778,0.224088101956406
E01000121,0.262159326579524,0.303761666723265,0.148174788062236,0.183342123769008
E01000122,0.293283224999658,0.313013275265478,0.179728046974722,0.205789826833482
E01000123,0.259832674326073,0.276678390203735,0.203166398223433,0.179501631348442
E01000124,0.322160773434014,0.324372231981286,0.320661211991745,0.215964332251266
E01000126,0.196270889912197,0.219204437178929,0.142934689653652,0.155705604403796
E01000127,0.253700536096395,0.281711378666728,0.196218577664517,0.192662821964565
E01000128,0.232785230533628,0.261280647124867,0.148634865493714,0.182588398871462
E01000129,0.250788581342299,0.269818920647607,0.222947354904908,0.196322536356427
E01000130,0.202642478210664,0.222531592087178,0.16070084549066,0.156130382272973
E01000131,0.215419554295762,0.264968624924553,0.122449912239405,0.174125532781385
E01000132,0.242453435522474,0.276523008859333,0.163678899641768,0.181454327273424
E01000133,0.235550266365118,0.26312568675212,0.178115060486316,0.171069435298148
E01000134,0.228125790558248,0.280559726976063,0.144224622278911,0.177247208600684
E01000135,0.224171271782987,0.238694376083488,0.186358208961999,0.150232298839515
E01000136,0.249622491972814,0.241645532390047,0.243343152889851,0.153909839153735
E01000137,0.211813497104178,0.238690950687724,0.180612012400326,0.148177892635109
E01000138,0.230428933096455,0.251873496382579,0.2005366107526,0.168747364301818
E01000139,0.257180120725629,0.257386088433016,0.23036340373834,0.183860403522126
E01000140,0.247456197995824,0.242989530741425,0.255148140437329,0.167727518830368
E01000141,0.259652723139792,0.249956212132674,0.25819107941882,0.197087877712731
E01000142,0.22773668505373,0.2701673766994,0.16038101213927,0.171779296473317
